Company,Type,Address Line 1,City,State,Zip,Phone,Email,Contact Name,CRM Stage,Standard Labor Rate,Warranty Labor Rate,Website,High Priority,Notes
55 Auto Works,REPAIR SHOP,150 Premier Dr,Holly Springs,NC,27540,(919) 285-2106,derek@premierautobody.us,Derek Fox,Contacted,,,,,1/27 SA took my info to pass along to owner Derek; co-owns Premier Auto Body in the same buisness complex
A-Tech Auto Repair,REPAIR SHOP,1550 N Clark St,Fresno,CA,93703,(559) 527-4006,atechauto6@gmail.com,Williy,Contacted,,,,,10/6 Willy wasn't in SA asked for info email. 10/28 Willy is out of town until 11/10
A & E Automotive,REPAIR SHOP,300 Pine Ave Ste. B,Goleta,CA,93117,(805) 964-8276,aeautomotive.service@gmail.com,Dannon and Sanford,Contacted,,,,,"11/14 Edgar, was interested asked me to email owners info, follow up next week"
A & J Automotive,REPAIR SHOP,5001 Departure Dr,Raleigh,NC,27616,(919) 230-0933,,,Contacted,,,,,12/15 LVM
A&R Auto Repair and EV Services Inc,REPAIR SHOP,6967 NC-904,Fairmont,NC,28340,(910) 856-1156,,,Lead,,,,,"12/17 phone didn't ring, CB tomorrow. 1/12  call can't be completed."
A-1 Auto Bdoy,REPAIR SHOP,2533 Rocky Cross Rd,Middlesex,NC,27557,(919) 404-0908,,,Contacted,,,,,1/27 LVM
A1 Auto Center Corp,REPAIR SHOP,,,,,,,,Lead,,,,,
AAA Hybrid Battery Repair San Diego,SPECIALIST,2922 Bancroft Dr,Spring Valley,CA,91977,(619) 481-4400,aaasdauto@yahoo.com,Chris,Contacted,,,,Yes,5/9 Chris (owner) was intrested sent info; 6/16 resending info Chris hasn't reviewed
AAMCO Transmissions & Total Car Care Charlotte,REPAIR SHOP,10120 Albemarle Rd,Charlotte,NC,28227,(704) 327-3190,,,Contacted,,,,,12/15 LVM
AAMCO Transmissions & Total Car Care Hialeah,REPAIR SHOP,420 W 29th St,Hialeah,FL,33012,(305) 755-4784,aamcohialeah@gmail.com,Roger,In Review,165,,,,"12/16 Roger, (owner operator/master tech) asked for more info to look over was working on a car when i called."
AAMCO Transmissions & Total Car Care Miami,REPAIR SHOP,7247 SW 40th St,Miami,FL,33155,(786) 401-4896,miamiaamco@gmail.com,Pedro,Contacted,155,,,,"12/16 Pedro owner will be back in Jan 2026, follow up then"
AAMCO Transmission & Total Car Care Oakland,REPAIR SHOP,3050 Brook St,Oakland,CA,94611,(510) 826-5438,,,Contacted,,,,,"2/4 shop owner was interested but busy, will call back"
AAMCO Transmission & Total Car Care Wichita,REPAIR SHOP,703 N West St,Wichita,KS,67203,(316) 413-8231,,,Contacted,,,,,"12/26 advisor took my name & # down, will have owner call me back"
AAMCO Transmission & Total Car Care Wichita East,REPAIR SHOP,"901 S Woodlawn Blvd, Fabrique",Wichita,KS,67218,(316) 613-0978,,,Contacted,,,,,12/26 LVM
ABBY Car Care,REPAIR SHOP,7253 N Abby St,Pinedale,CA,93650,(559) 438-7181,abbycarcare@gmail.com,Mike,Contacted,,,,,"10/28 Mike wasn't in advisor took my info down, sent info email too."
Able Auto And Truck Repair LLC,REPAIR SHOP,2459 Fruitvale Ave Suite 1,Bakersfield,CA,93308,(661) 637-0669,contact@ableautotech.com,Dan,Contacted,196.55,,,,11/4 Dan wasn't in Katie asked for an email to have Dan look over
AC Auto,REPAIR SHOP,2425 W Clemmonsville Rd,Winston-Salem,NC,27127,(336) 717-4808,adam@acauto.net,Adam,Contacted,,,,,4/8 Zoey asked me to email Adam.
Accu Auto Service,REPAIR SHOP,23253 Madero,Mission Viejo,,,(949) 859-9637,accuautoland@gmail.com,Mike - Trong,Contacted,,,,Yes,5/9 sent info; 6/16 Mikes been busy asked for info again will CB; 8/15 Mikes busy set up a call for 8/19 between 9-11; 8/19  Mike asked me to speak w/ Trong when he's back from vacation 9/2 - CB9/3.. 10/6 Mike asked for a CB 10/7 when Truong is in. 11/24 Trong will be in 11/26 10:30am
Accurate Automotive Services,REPAIR SHOP,105 Jensen Ct,Thousand Oaks,CA,91360,(805) 496-3039,accurateautomotive@verizon.net,Miguel; Irma,Contacted,185,,,,"11/18 Miguel took my # down & will giive it to Irma and ask her to call me back, also sent info via email."
"ACE HYBRID TECHNOLOGY, INC.",REPAIR SHOP,7552 Acacia Avenue,Garden Grove,CA,92841,(714) 451-9521,mohsennourmahnad@gmail.com,Mohsen,In Review,,,,Yes,"5/2 intrested in tesla partnership, ; 5/5 Mo will reach back out today;; 5/14 Mo wasn't in took info will CB; 5/16 Mo not in has my CB info; 5/16 missed Mo's CB try calling at 3 pm; 5/19 f/u email; 5/22 asked for a CB after 3pm; 6/10 LVM asking for a CB; 6/16 will have Mo CB by tomorrow."
Adams AutoWorx Albany Auto Service,REPAIR SHOP,730 San Pablo Ave,Albany,CA,94706,(510) 527-2443,,Ian - GM,Contacted,,,,,2/3 Ronnie suggested i call Castro Valley and speak w/ Ian the GM
Ada AutoWorx Castro Valley,REPAIR SHOP,20679 Park Way,Castro Valley,CA,94546,(810) 886-9299,aliciia@adamsautoworx.com,Ian - GM,Contacted,225,,,,"2/3 Alicia, took my info to have MGMT team call me. i sent our info email to piggyback on her msg."
ADAS Calibrations of Ventura County,SPECIALIST,3037 Golf Course Dr STE 4,Ventura,CA,93003,(805) 201-8511,juarez02270@gmail.com,Jaime Juarez,Contacted,265,200 - ,,,"8/13 has an OEM partnership w/ Rivian, only downside is they dont have a lift yet to drop battery packs, drive units ect.   they are trying to open a 2nd shop in Simi valley, with a lift. 8/21 Jaime is very interested called me w/ questions his partner raised,  - they are looking to expand quickly adding 2nd location in simi & 3rd location in santa clarita both locations w/ lifts, trying to use VF as the program that pays the bills while they get off the ground."
Affinity Automotive Service,REPAIR SHOP,2606 W Pawnee St,Wichita,KS,67213,(316) 425-8684,serviceteam@affinityautomotiveservices.com,,Contacted,,,,,12/8 LVM for Summer -CEO; Mark - COO; 1/9 sent info email
Agapito's Automotive Repair,REPAIR SHOP,8520 US-17 BYP,Vanceboro,NC,28586,(252) 672-2096,ben.agapitos8520@gmail.com,Ben,Contacted,190,155,,,"12/16 service advisor provided MGR's email, they sold a few VF cars, and were looking to become a dealer but VF never followed up. advisor was interested in learning more about RW X VF partnership.. shop has a big lot with a lot of room."
Argonaut Garage,REPAIR SHOP,1485 San Pablo Ave,Berkeley,CA,94702,(510) 800-6085,,,Contacted,,,,,10/23 LVM
Airport Auto Tech,REPAIR SHOP,2368 N Oxnard Blvd #1,Oxnard,CA,93036,(805) 983-0800,oxnardautotech@gmail.com,Frankie,Contacted,200,,,,11/26 Frankie-owner will be back on 12/2 call back
AL'S Auto Clinic,REPAIR SHOP,6615 N Blackstone Ave #111,Fresno,CA,93710,(559) 440-0490,sakha_a@yahoo.com,Al -owner| Karen -mgr,Contacted,,,,,9/25 Karen asked for more info to discuss w/ Al; 10/24 AL might be selling shop
"Alexanders Automotive, INC",REPAIR SHOP,145 North Hillside Street,Wichita,KS,67214,(316) 838-7039,alexanderautomotiveinc@mechanicnet.com,,Lead,,,,,"12/9 LVM, asking for CB"
All Car Specialists,REPAIR SHOP,330 S Del Mar Ave,San Gabriel,,,(626) 285-2205,allcarexpert@gmail.com,Paul Brow - Owner,Contacted,,,,Yes,"4/18 resent info.  4/23 Paul will look over and reach out if interested; 5/2 LM will call back; 5/5 Paul will callback; 5/14 Paul was busy. 5/16 paul & ron busy, 5/22 LM w/ Sara to have paul or ron CB; 6/16 Paul was busy Ron asked for info to be resent; 8/22 – Paul is out. Ron will share my info with him and have Paul reach out to me. 10/24  took my name & # down will ask Paul to call me back."
Allrite Import Service,REPAIR SHOP,,,,,,,,Lead,,,,,
Allspecs Automotive and EV,REPAIR SHOP,,,,,,,,Lead,,,,,
Alvelo's Electric & Auto Repairs,REPAIR SHOP,7743 Stratford Blvd,Orlando,FL,32807,(407) 692-0931,jalvelo18@gmail.com,Jose Alvelo,In Review,125-220,150,,,"1/6 Jose's interested in partnership, does electrical & automotive repairs.  auto repair rate rage's from 125-220, sending out contract for 150.00"
AMJ Auto Repair,REPAIR SHOP,4236 Eagle Rock Blvd,Highland Park,,,(323) 254-4784,seropm@yahoo.com,sam,Contacted,,,,Yes,4/18 - Sam asked for info email resent email 4/21; 5/5 resent email.; 5/14 looking over info will CB; 5/19 sent  f/u email; 6/16 Sam was busy will CB ; 10/24 gas station shop
Andover Auto Body,BODYSHOP,115 W Cloud Ave,Andover,KS,67002,(316) 925-5145,Jeff@AndoverAutoBody.com,Jeff,Lead,,,,,"12/29 asked for info, not a VF collision shop"
Apex Auto Center,REPAIR SHOP,2711 El Camino Ave Suite 101,Sacramento,CA,95821,(916) 883-8836,apexautocenter1@gmail.com,collin manny,Contacted,,,,,10/9 Collin requested additional info via email to discuss w/ Manny
Apex Tire & Auto,REPAIR SHOP,12951 Trade Center Dr,Bonita Springs,FL,34135,(239) 390-1552,,,Contacted,,,,,1/15 LVM
Aram's Auto Repair Center,REPAIR SHOP,6333 N Blackstone Ave,Fresno,CA,93710,(559) 436-8436,service@aramsauto.com,Billy,Contacted,215,,,,10/21 sent email; 10/24 left msg asking Billy to call me back
Armstrong Auto Care,REPAIR SHOP,20307 Biscayne Blvd,Aventura,FL,33180,(305) 614-9318,aventura@armstronautocare.com,Manny - owner; Carlos - SA,Contacted,,,,,1/14 Carlos asked me to email info so owner could review.
Asian Auto Tech of Ventura,,1200 Callens Rd,Ventura,,93003,(805) 628-7858,jessica@venturaautotech.com;  rita@lbmautomotive.com,rita,Contacted,,,https://venturaautotech.com/,,"6/9 jessica asked me to email infor, will pass along to owner Rita;     6/16 talked w/ Rita sent email directly to her, will review and CB; 8/22  LVM on Ritas VM"
Assurance Tire & Service,REPAIR SHOP,8681 Marvino Ln,Raleigh,NC,27617,(919) 268-4300,,,Lead,,,,,
Auto Beauty Center,REPAIR SHOP,3020 S Jackson Dr Building B,Independence,MO,64057,(816) 252-1978,,"Dillon - Mechanical MGR, Kerry - Body MGR",Lead,,,,,12/29 interested in partnership Dillon is leaving on Vacation til 1/12... follow up then
Auto Performance Center Collision LLC,BODYSHOP,922 US-70 Unit B,Garner,NC,27529,(919) 772-2009,apc922@gmail.com,"Mark, Steve Ward",Contacted,148,,,,"1/26 LVM, body shop, and mechanical repairs under one roof.  1/27 Mark asked me to email owner,"
Autobahn Auto Center,REPAIR SHOP,2540 NW Boca Raton Blvd,Boca Raton,FL,33431,(561) 821-3501,Autobahnofboca@gmail.com,Pablo,Contacted,,,,,1/14 too busy right now to take on a new partnership. sent info
AutoBody Spa,REPAIR SHOP,375 Vermont St,San Francisco,CA,94103,(415) 252-7790,autobodyspa@gmail.com,,Lead,,,,,"2/9 took my info down, will have owner call me back.. shop might be changing ownership soon."
AutoDoctors,REPAIR SHOP,11826 W 112th St,Overland Park,KS,66210,(913) 538-0322,info@autodoctorsks.com,Jeff & Julie,Contacted,,,,,"12/12 Jeff & Julie own 3 locations,  Josh service advisor provided owners email to discuss with them."
AutoDoctors,REPAIR SHOP,1500 E Santa Fe St.,Gardner,KS,66030,(913) 386-8889,,,Contacted,,,,,
AutoDoctors,REPAIR SHOP,534 Gateway Dr,Lawrence,KS,66049,(785) 333-4799,,,Contacted,,,,,
Auto Body 911,REPAIR SHOP,2734 S Wilmington St,Raleigh,NC,27603,(919) 400-0911,autobody911@gmail.com,Thomas hobbs-pwmer. Robert-SA,Contacted,105,,,,"1/20 Robert, asked for info email to pass along to Thomas, waiting on a call back from owner."
Auto Care Experts,REPAIR SHOP,23662 Via Fabricante A,Mission Viejo,CA,92691,(949) 588-9813,serge@autocareexperts.com,Serge,Contacted,158,,,,"2/13 Advisor Alex gave me MGR's email & took my # and will Ask MGR Serge to call me back,"
Auto Electric Repair,REPAIR SHOP,1334 N Melrose Dr suite e,Vista,CA,92083,(760) 631-2684,,,Contacted,,,,,"4/14 sent info, Eric busy; 4/16 thought $2k annual fee, clarified rev-share
Customer walked in, will call back (seems flaky)"
Automotive Solutions and Services LLC,REPAIR SHOP,,Boca Raton,,,(561) 716-6069,automotivesolutionsandservices@gmail.com,Raymond Yuan,In Review,199,199,,,"1/12 mobile service, works on EV (alot of Fiskers) doing software updates, 12V batteries, rework. no lift in his garage so wont be able to do EDS, HV Batteries."
"Auto House of Clovis, Inc",REPAIR SHOP,2862 Larkin Ave #1,Clovis,CA,93612,(559) 292-2028,autohouseofclovis@gmail.com,Darryl,Contacted,,,,,10/21 LVM; shop called back explained our programe asked for email
Auto Repair Specialist,REPAIR SHOP,533 N Sunnyside Ave,Fresno,CA,93727,(559) 251-6300,,,Contacted,,,,,"10/28 no mgr or owner avalable advisor took my name & # down, will ask  mgr/owner to call me back"
Auto Repair Shop La Palma,REPAIR SHOP,3116 West Lincoln Ave,Anaheim,,92801,(714) 758-1475,,,Contacted,,,https://bobbygrichautorepair.com/,,8/29 LVM.
