Shop name,Admin link,motherduck shop id,VinFast Dealer Code (from Admin),RW Dealer Code (from Admin),Send welcome email (If zoho contract missing),Shop email address,VF Onboarding status,Shop status,Operational Status,Go-live week,Shop address,Send VF Email,VF Email sent date,RepairWise: Schedule VinFast in-person Technical training,RepairWise: Conduct portal walkthrough,VinFast: Create dealer portal account and add shop address to STP address list with supplied email address,VinFast: VCI: Ship scan tool to shop with supplied address,DSA / VDSA Activated,RepairWise: DSA: Log serial number in spreadsheet,Stock parts order,Welcome Email sent date,pm_count,routableId,Routable status,Routable - Last 4 of account number,ADAS calibration equipped,ADAS summary,Create Shop Profile,Add shop to quickbooks and Routable,Technical training completed,Owner webinar complete,DSA / VDSA Account Received and Sent to Shop ,DSA / VDSA Account Requested ,Wall Charger Ordered ,VCI Ordered,VDSA Ordered,Shop has DSA/VDSA/Portal access and wall charger installed ,Shop Activated ,VinFast notified,Month 1 check in performed,Month 1 check-in date,Month 2 check-in performed,Month 2 check-in date,VF notified,Return unused parts,Return VF Equipment ,Labor Rate Requested,Labor Rate Approved,Booking URL for tow-ins,Physical Address (from Dealer link),OB Notes,last_routable_link_sent_at,last_routable_link_status,last_routable_error
Mapleview Collision,,,,,,mapleviewcollision@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Serenity EV,,,,,,sev@serenityevrepair.com,,,,,10937 N Solar Canyon Way #108,,,,,,,,,,8/11/2025 2:00pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Energized - EV,,,,,,steve@energized-ev.com,,,,,"187 Pacific St., Pomona, CA 91768

",,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Electric City,,,,,,teslamaniagarage@gmail.com,,,,,"775 W San Bernardino Rd Covina, CA 91722",,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Advanced Auto ,,,,,,Advancedauto2013@yahoo.com,,,,,,,,,,,,,,,8/26/2025 7:27am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,checked,checked,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Honest 1 Auto Care Diamond Bar,,,,,,harry.downs45@yahoo.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
GAB COLLISION CENTER,GAB COLLISION CENTER,5eae0a10-4ea2-4bb3-9408-9b4adcb5a83a,,441592,,ALEX@GABCOLLISION.COM,,,,,"21410 Parthenia St, Canoga Park, CA 91304",,,,,,,,,,9/9/2025 4:17pm,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=5eae0a10-4ea2-4bb3-9408-9b4adcb5a83a,,,,,
"Midas Bay Shore, Seaford",,,,,,dastgir.abbas@gmail.com,,,,,,,,,,,,,,,9/20/2025 3:07am,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
GT Pit Stop,,,,,,gtpitstop2019@gmail.com,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
Midas Sacramento Downtown,,,,,,KARIMZ90@GMAIL.COM,,,,,,,,,,,,,,,,,,No Routable account,,,ADAS Calibrations: ❌,,,,,,,,,,,,,,,,,,,,,,https://app.fixlane.com/sign-up?book_now=tow&oem=vinfast&shop_id=,,,,,
